concept_id,concept_option_id,label,sort_order
c088,c088:8888,No sabe,8888
c089,c089:1,"Movilidad (mala calidad de transporte público, congestión vehicular)",1
c089,c089:2,"Desarrollo Urbano (deficiencias en servicios públicos, dispersión de la ciudad)",2
c089,c089:3,"Medio Ambiente (falta de agua, contaminación, falta de árboles)",3
c089,c089:4,Desarrollo Social (desempleo/pobreza /discriminación/ educación/salud),4
c089,c089:5,"Seguridad (incremento de índices delictivos/impunidad, violencia familiar y violencia contra las mujeres)",5
c089,c089:6,Gobierno Eficiente (corrupción/mal uso de los recursos),6
c089,c089:9999,No contesta,9999
c102,c102:0,No,0
c102,c102:1,Sí,1
c102,c102:2,No hay cruces,2
c102,c102:8888,No sabe,8888
c102,c102:9999,No contesta,9999
c103,c103:0,No,0
c103,c103:1,Sí,1
c103,c103:2,No hay rampas,2
c103,c103:8888,No sabe,8888
c103,c103:9999,No contesta,9999
c105,c105:0,No,0
c105,c105:1,Sí,1
c105,c105:2,No hay banquetas,2
c105,c105:8888,No sabe,8888
c105,c105:9999,No contesta,9999
c106,c106:0,No,0
c106,c106:1,Sí,1
c106,c106:2,No hay banquetas,2
c106,c106:8888,No sabe,8888
c106,c106:9999,No contesta,9999
c107,c107:0,No,0
c107,c107:1,Sí,1
c107,c107:2,No hay,2
c107,c107:8888,No sabe,8888
c107,c107:9999,No contesta,9999
c109,c109:0,No,0
c109,c109:1,Sí,1
c109,c109:2,No hay banquetas,2
c109,c109:8888,No sabe,8888
c109,c109:9999,No contesta,9999
c111,c111:1,1,1
c111,c111:2,2,2
c111,c111:3,3,3
c111,c111:4,4,4
c111,c111:5,5,5
c111,c111:6,6,6
c111,c111:7,7,7
c111,c111:8,8,8
c111,c111:9,9,9
c111,c111:10,10,10
c111,c111:8888,No sabe,8888
c111,c111:9999,No contesta,9999
c112,c112:0,NO,0
c112,c112:1,Sí,1
c112,c112:9999,No contesta,9999
c113,c113:1,Uno,1
c113,c113:2,Dos,2
c113,c113:3,Tres,3
c113,c113:4,Cuatro,4
c113,c113:5,Cinco o Más,5
c113,c113:8888,No sabe,8888
c113,c113:9999,No contesta,9999
c116,c116:0,No,0
c116,c116:1,Sí,1
c116,c116:9999,No contesta,9999
c118,c118:0,No,0
