respondent_id,is_initial_respondent,nombre,factor_cvnl,city_id
140_6,False,,1407.310669,6
141_1,True,,1407.310669,6
141_2,False,,1407.310669,6
141_3,False,,1407.310669,6
142_1,True,,659.7180786,12
142_2,False,,659.7180786,12
142_3,False,,659.7180786,12
143_1,True,,962.1404419,46
144_1,True,,110.7352905,49
144_2,False,,110.7352905,49
145_1,True,,679.5336914,48
145_2,False,,679.5336914,48
146_1,True,,2537.585693,39
146_2,False,,2537.585693,39
146_3,False,,2537.585693,39
147_1,True,,2808.141113,39
147_2,False,,2808.141113,39
148_1,True,,1013.601074,21
148_2,False,,1013.601074,21
148_3,False,,1013.601074,21
148_4,False,,1013.601074,21
148_5,False,,1013.601074,21
149_1,True,,2537.585693,39
149_2,False,,2537.585693,39
150_1,True,,110.7352905,49
150_2,False,,110.7352905,49
151_1,True,,663.3157959,33
152_1,True,,691.5112915,25
153_1,True,,110.7352905,49
153_2,False,,110.7352905,49
154_1,True,,106.0568237,49
154_2,False,,106.0568237,49
155_1,True,,337.8926697,19
155_2,False,,337.8926697,19
155_3,False,,337.8926697,19
156_1,True,,802.7727051,18
156_2,False,,802.7727051,18
156_3,False,,802.7727051,18
156_4,False,,802.7727051,18
157_1,True,,1480.23999,26
157_2,False,,1480.23999,26
157_3,False,,1480.23999,26
157_4,False,,1480.23999,26
158_1,True,,2537.585693,39
159_1,True,,2537.585693,39
160_1,True,,2537.585693,39
160_2,False,,2537.585693,39
160_3,False,,2537.585693,39
160_4,False,,2537.585693,39
161_1,True,,663.3157959,5
162_1,True,,2537.585693,39
163_1,True,,2808.141113,39
163_2,False,,2808.141113,39
164_1,True,,675.8522949,48
164_2,False,,675.8522949,48
164_3,False,,675.8522949,48
164_4,False,,675.8522949,48
165_1,True,,2808.141113,39
165_2,False,,2808.141113,39
165_3,False,,2808.141113,39
166_1,True,,963.7158813,31
166_2,False,,963.7158813,31
166_3,False,,963.7158813,31
167_1,True,,1034.289795,21
167_2,False,,1034.289795,21
167_3,False,,1034.289795,21
168_1,True,,1407.310669,6
168_2,False,,1407.310669,6
168_3,False,,1407.310669,6
168_4,False,,1407.310669,6
169_1,True,,1429.022583,6
169_2,False,,1429.022583,6
169_3,False,,1429.022583,6
170_1,True,,1015.954529,46
171_1,True,,663.3157959,17
172_1,True,,1013.601074,21
172_2,False,,1013.601074,21
172_3,False,,1013.601074,21
173_1,True,,659.7180786,10
173_2,False,,659.7180786,10
173_3,False,,659.7180786,10
173_4,False,,659.7180786,10
173_5,False,,659.7180786,10
174_1,True,,110.7352905,49
174_2,False,,110.7352905,49
174_3,False,,110.7352905,49
175_1,True,,666.6879883,37
175_2,False,,666.6879883,37
175_3,False,,666.6879883,37
175_4,False,,666.6879883,37
176_1,True,,963.7158813,31
176_2,False,,963.7158813,31
176_3,False,,963.7158813,31
176_4,False,,963.7158813,31
177_1,True,,106.0568237,49
177_2,False,,106.0568237,49
177_3,False,,106.0568237,49
177_4,False,,106.0568237,49
177_5,False,,106.0568237,49
178_1,True,,1015.954529,46
178_2,False,,1015.954529,46
178_3,False,,1015.954529,46
178_4,False,,1015.954529,46
179_1,True,,1407.310669,6
179_2,False,,1407.310669,6
179_3,False,,1407.310669,6
180_1,True,,663.3157959,11
181_1,True,,2808.141113,39
181_2,False,,2808.141113,39
181_3,False,,2808.141113,39
181_4,False,,2808.141113,39
182_1,True,,666.6879883,17
182_2,False,,666.6879883,17
183_1,True,,666.6879883,5
183_2,False,,666.6879883,5
183_3,False,,666.6879883,5
183_4,False,,666.6879883,5
184_1,True,,963.3539429,31
184_2,False,,963.3539429,31
184_3,False,,963.3539429,31
185_1,True,,663.3157959,4
185_2,False,,663.3157959,4
186_1,True,,1407.310669,6
186_2,False,,1407.310669,6
186_3,False,,1407.310669,6
186_4,False,,1407.310669,6
186_5,False,,1407.310669,6
187_1,True,,1015.954529,46
187_2,False,,1015.954529,46
187_3,False,,1015.954529,46
187_4,False,,1015.954529,46
187_5,False,,1015.954529,46
187_6,False,,1015.954529,46
188_1,True,,258.2655334,9
188_2,False,,258.2655334,9
188_3,False,,258.2655334,9
